book_id,title,author,isbn,count
1,Python编程从入门到实践,埃里克·马瑟斯,9787115428028,15
2,算法图解,巴格瓦蒂,9787115428029,12
3,数据结构与算法分析,马克艾伦维斯,9787115469213,10
4,深入理解计算机系统,兰德尔E布莱恩特,9787111544937,7
5,Java编程思想,布鲁斯埃克尔,9787111213826,14
6,JavaScript高级程序设计,尼古拉斯泽卡斯,9787115545381,16
7,MySQL必知必会,本福达,9787115263507,18
8,Redis设计与实现,黄健宏,9787115468097,9
9,Spring实战,克雷格沃斯,9787115546029,11
10,Django Web开发实战,胡阳,9787115487097,7
11,React学习手册,亚历克斯班克斯,9787115547170,13
12,Vue.js实战,梁灏,9787115486304,17
13,Go语言编程,许式伟,9787115379550,10
14,Rust编程之道,张汉东,9787115487028,8
15,Linux鸟哥的私房菜,鸟哥,9787115541541,20
16,计算机网络自顶向下方法,詹姆斯F库罗斯,9787111641247,12
17,操作系统概念,阿Tanenbaum,9787111646913,9
18,设计模式可复用面向对象软件基础,埃里希伽玛,9787111213833,11
19,重构改善既有代码的设计,马丁福勒,9787111546674,14
20,测试驱动开发,肯特贝克,9787111546681,7
21,代码整洁之道,罗伯特C马丁,9787111546704,16
22,敏捷软件开发,罗伯特C马丁,9787111278799,10
23,领域驱动设计,埃里克埃文斯,9787111552332,8
24,微服务架构设计模式,克里斯理查森,97871115511788,13
25,容器与Docker实战,伊恩米尔,97871115511795,15
26,Kubernetes实战,乔纳森伯斯坦,97871115511801,12
27,机器学习实战,彼得哈林顿,97871115428035,11
28,深度学习,伊恩古德费洛,97871115468098,9
29,人工智能一种现代方法,斯图尔特罗素,9787111640097,7
30,统计学习方法,李航,9787111544938,18
31,Python数据科学手册,杰克万托布,97871115474404,14
32,利用Python进行数据分析,韦斯麦金尼,9787111546036,16
33,SQL必知必会,本福达,97871115263514,20
34,NoSQL数据库权威指南,亚当迪马科,97871115379567,10
35,Elasticsearch实战,拉吉夫莫尔贾尼,97871115487035,8
36,Spark快速大数据分析,马修扎哈里亚,97871115428042,13
37,Hadoop权威指南,汤姆怀特,97871115511818,15
38,Flink实战,阿里云计算平台事业部,97871115511825,12
39,数据仓库工具箱,拉尔夫金博尔,9787111552349,9
40,数据挖掘概念与技术,Jiawei Han,9787111546711,11
41,Web安全深度剖析,王树森,97871115511832,7
42,网络安全攻防实战,石华耀,97871115511849,14
43,密码学原理与实践,道格拉斯斯廷森,9787111552356,16
44,区块链技术指南,邹均,97871115487042,10
45,比特币点对点电子现金系统,中本聪,97871115511856,8
46,以太坊技术详解与实战,闫莺,97871115511863,13
47,移动应用开发实战,张三,97871115511870,15
48,小程序开发实战,李四,97871115511887,12
49,前端工程化实践,王五,97871115511894,9
50,后端架构设计,赵六,97871115511900,11
51,DevOps实战,吉恩金,97871115511917,7
52,持续集成与持续部署,保罗杜瓦尔,97871115511924,14
53,软件测试实战,佩腾,97871115511931,16
54,性能测试指南,黄文高,97871115511948,10
55,自动化测试实战,刘傲,97871115511955,8
56,接口测试实战,王浩,97871115511962,13
57,移动端测试实战,李娜,97871115511979,15
58,Web测试实战,张伟,97871115511986,12
59,安全测试实战,李强,97871115511993,9
60,兼容性测试实战,王丽,97871115512006,11
61,Python自动化测试,陈杰,97871115512013,7
62,Java自动化测试,陈明,97871115512020,14
63,JavaScript自动化测试,陈亮,97871115512037,16
64,Go自动化测试,陈强,97871115512044,10
65,Rust自动化测试,陈远,97871115512051,8
66,Linux自动化运维,陈阳,97871115512068,13
67,Windows服务器运维,陈风,97871115512075,15
68,数据库运维实战,陈雨,97871115512082,12
69,网络运维实战,陈雷,97871115512099,9
70,云服务器运维,陈电,97871115512105,11
71,Python爬虫开发实战,陈爬,97871115512112,7
72,Web爬虫实战,陈虫,97871115512129,14
73,数据采集实战,陈采,97871115512136,16
74,数据清洗实战,陈清,97871115512143,10
75,数据可视化实战,陈视,97871115512150,8
76,机器学习实战基于Python,陈机,97871115512167,13
77,深度学习实战基于TensorFlow,陈深,97871115512174,15
78,深度学习实战基于PyTorch,陈火,97871115512181,12
79,人工智能实战基于Python,陈智,97871115512198,9
80,自然语言处理实战,陈语,97871115512204,11
81,计算机视觉实战,陈图,97871115512211,7
82,语音识别实战,陈音,97871115512228,14
83,推荐系统实战,陈推,97871115512235,16
84,强化学习实战,陈强,97871115512242,10
85,大数据实战基于Hadoop,陈大,97871115512259,8
86,大数据实战基于Spark,陈火,97871115512266,13
87,大数据实战基于Flink,陈闪,97871115512273,15
88,云计算实战基于AWS,陈云,97871115512280,12
89,云计算实战基于Azure,陈天,97871115512297,9
90,云计算实战基于阿里云,陈地,97871115512303,11
91,微服务实战基于SpringCloud,陈微,97871115512310,7
92,微服务实战基于Dubbo,陈服,97871115512327,14
93,微服务实战基于Kubernetes,陈容,97871115512334,16
94,容器实战基于Docker,陈容,97871115512341,10
95,DevOps实战基于Jenkins,陈运,97871115512358,8
96,DevOps实战基于GitLabCI,陈开,97871115512365,13
98,软件设计模式实战,陈模,97871115512389,12
99,时间,李晓红,97871115512175,1
100,时间秘密,李晓红,97871115512170,9
