borrow_id,user_id,book_id,borrow_date,return_date,status
1,2,8,2026-04-23,2026-04-23,returned
2,2,56,2026-04-23,2026-04-23,returned
3,1,66,2026-04-23,2026-04-23,returned
4,1,99,2026-04-23,2026-04-23,returned
5,1,100,2026-04-23,2026-05-07,returned
6,2,4,2026-05-07,2026-05-07,returned
7,3,101,2026-05-07,2026-05-07,returned
8,2,68,2026-05-07,2026-05-07,returned
9,1,99,2026-05-07,2026-05-07,returned
10,2,34,2026-05-07,2026-05-07,returned
11,2,29,2026-05-07,2026-05-07,returned
12,1,5,2026-05-07,2026-05-07,returned
13,2,4,2026-05-07,2026-05-07,returned
14,2,14,2026-05-07,2026-05-07,returned
15,2,54,2026-05-07,,borrowed
16,1,97,2026-05-07,,borrowed
17,1,85,2026-05-14,2026-05-14,returned
18,4,5,2026-05-14,2026-05-14,returned
19,2,102,2026-05-14,,borrowed
